,Close
2024-05-08,38202.37
2024-05-07,38835.1
2024-05-02,38236.07
2024-05-01,38274.05
2024-04-30,38405.66
2024-04-26,37934.76
2024-04-25,37628.48
2024-04-24,38460.08
2024-04-23,37552.16
2024-04-22,37438.61
2024-04-19,37068.35
2024-04-18,38079.7
2024-04-17,37961.8
2024-04-16,38471.2
2024-04-15,39232.8
2024-04-12,39523.55
2024-04-11,39442.63
2024-04-10,39581.81
2024-04-09,39773.13
2024-04-08,39347.04
2024-04-05,38992.08
2024-04-04,39773.14
2024-04-03,39451.85
2024-04-02,39838.91
2024-04-01,39803.09
2024-03-29,40369.44
2024-03-28,40168.07
2024-03-27,40762.73
2024-03-26,40398.03
2024-03-25,40414.12
2024-03-22,40888.43
2024-03-21,40815.66
2024-03-19,40003.6
2024-03-18,39740.44
2024-03-15,38707.64
2024-03-14,38807.38
2024-03-13,38695.97
2024-03-12,38797.51
2024-03-11,38820.49
2024-03-08,39688.94
2024-03-07,39598.71
2024-03-06,40090.78
2024-03-05,40097.63
2024-03-04,40109.23
2024-03-01,39910.82
2024-02-29,39166.19
2024-02-28,39208.03
2024-02-27,39239.52
2024-02-26,39233.71
2024-02-22,39098.68
2024-02-21,38262.16
2024-02-20,38363.61
2024-02-19,38470.38
2024-02-16,38487.24
2024-02-15,38157.94
2024-02-14,37703.32
2024-02-13,37963.97
2024-02-09,36897.42
2024-02-08,36863.28
2024-02-07,36119.92
2024-02-06,36160.66
2024-02-05,36354.16
2024-02-02,36158.02
2024-02-01,36011.46
2024-01-31,36286.71
2024-01-30,36065.86
2024-01-29,36026.94
2024-01-26,35751.07
2024-01-25,36236.47
2024-01-24,36226.48
2024-01-23,36517.57
2024-01-22,36546.95
2024-01-19,35963.27
2024-01-18,35466.17
2024-01-17,35477.75
2024-01-16,35619.18
2024-01-15,35901.79
2024-01-12,35577.11
2024-01-11,35049.86
2024-01-10,34441.72
2024-01-09,33763.18
2024-01-05,33377.42
2024-01-04,33288.29
2023-12-29,33464.17
2023-12-28,33539.62
2023-12-27,33681.24
2023-12-26,33305.85
2023-12-25,33254.03
2023-12-22,33169.05
2023-12-21,33140.47
2023-12-20,33675.94
2023-12-19,33219.39
2023-12-18,32758.98
2023-12-15,32970.55
2023-12-14,32686.25
2023-12-13,32926.35
2023-12-12,32843.7
2023-12-11,32791.8
2023-12-08,32307.86
2023-12-07,32858.31
2023-12-06,33445.9
2023-12-05,32775.82
2023-12-04,33231.27
2023-12-01,33431.51
2023-11-30,33486.89
2023-11-29,33321.22
2023-11-28,33408.39
2023-11-27,33447.67
2023-11-24,33625.53
2023-11-22,33451.83
2023-11-21,33354.14
2023-11-20,33388.03
2023-11-17,33585.2
2023-11-16,33424.41
2023-11-15,33519.7
2023-11-14,32695.93
2023-11-13,32585.11
2023-11-10,32568.11
2023-11-09,32646.46
2023-11-08,32166.48
2023-11-07,32271.82
2023-11-06,32708.48
2023-11-02,31949.89
2023-11-01,31601.65
2023-10-31,30858.85
2023-10-30,30696.96
2023-10-27,30991.69
2023-10-26,30601.78
2023-10-25,31269.92
2023-10-24,31062.35
2023-10-23,30999.55
2023-10-20,31259.36
2023-10-19,31430.62
2023-10-18,32042.25
2023-10-17,32040.29
2023-10-16,31659.03
2023-10-13,32315.99
2023-10-12,32494.66
2023-10-11,31936.51
2023-10-10,31746.53
2023-10-06,30994.67
2023-10-05,31075.36
2023-10-04,30526.88
2023-10-03,31237.94
2023-10-02,31759.88
2023-09-29,31857.62
2023-09-28,31872.52
2023-09-27,32371.9
2023-09-26,32315.05
2023-09-25,32678.62
2023-09-22,32402.41
2023-09-21,32571.03
2023-09-20,33023.78
2023-09-19,33242.59
2023-09-15,33533.09
2023-09-14,33168.1
2023-09-13,32706.52
2023-09-12,32776.37
2023-09-11,32467.76
2023-09-08,32606.84
2023-09-07,32991.08
2023-09-06,33241.02
2023-09-05,33036.76
2023-09-04,32939.18
2023-09-01,32710.62
2023-08-31,32619.34
2023-08-30,32333.46
2023-08-29,32226.97
2023-08-28,32169.99
2023-08-25,31624.28
2023-08-24,32287.21
2023-08-23,32010.26
2023-08-22,31856.71
2023-08-21,31565.64
2023-08-18,31450.76
2023-08-17,31626.0
2023-08-16,31766.82
2023-08-15,32238.89
2023-08-14,32059.91
2023-08-10,32473.65
2023-08-09,32204.33
2023-08-08,32377.29
2023-08-07,32254.56
2023-08-04,32192.75
2023-08-03,32159.28
2023-08-02,32707.69
2023-08-01,33476.58
2023-07-31,33172.22
2023-07-28,32759.23
2023-07-27,32891.16
2023-07-26,32668.34
2023-07-25,32682.51
2023-07-24,32700.94
2023-07-21,32304.25
2023-07-20,32490.52
2023-07-19,32896.03
2023-07-18,32493.89
2023-07-14,32391.26
2023-07-13,32419.33
2023-07-12,31943.93
2023-07-11,32203.57
2023-07-10,32189.73
2023-07-07,32388.42
2023-07-06,32773.02
2023-07-05,33338.7
2023-07-04,33422.52
2023-07-03,33753.33
2023-06-30,33189.04
2023-06-29,33234.14
2023-06-28,33193.99
2023-06-27,32538.33
2023-06-26,32698.81
2023-06-23,32781.54
2023-06-22,33264.88
2023-06-21,33575.14
2023-06-20,33388.91
2023-06-19,33370.42
2023-06-16,33706.08
2023-06-15,33485.49
2023-06-14,33502.42
2023-06-13,33018.65
2023-06-12,32434.0
2023-06-09,32265.17
2023-06-08,31641.27
2023-06-07,31913.74
2023-06-06,32506.78
2023-06-05,32217.43
2023-06-02,31524.22
2023-06-01,31148.01
2023-05-31,30887.88
2023-05-30,31328.16
2023-05-29,31233.54
2023-05-26,30916.31
2023-05-25,30801.13
2023-05-24,30682.68
2023-05-23,30957.77
2023-05-22,31086.82
2023-05-19,30808.35
2023-05-18,30573.93
2023-05-17,30093.59
2023-05-16,29842.99
2023-05-15,29626.34
2023-05-12,29388.3
2023-05-11,29126.72
2023-05-10,29122.18
2023-05-09,29242.82
2023-05-08,28949.88
2023-05-02,29157.95
2023-05-01,29123.18
2023-04-28,28856.44
2023-04-27,28457.68
2023-04-26,28416.47
2023-04-25,28620.07
2023-04-24,28593.52
2023-04-21,28564.37
2023-04-20,28657.57
2023-04-19,28606.76
2023-04-18,28658.83
2023-04-17,28514.78
2023-04-14,28493.47
2023-04-13,28156.97
2023-04-12,28082.7
2023-04-11,27923.37
2023-04-10,27633.66
2023-04-07,27518.31
2023-04-06,27472.63
2023-04-05,27813.26
2023-04-04,28287.42
2023-04-03,28188.15
2023-03-31,28041.48
2023-03-30,27782.93
2023-03-29,27883.78
2023-03-28,27518.25
2023-03-27,27476.87
2023-03-24,27385.25
2023-03-23,27419.61
2023-03-22,27466.61
2023-03-20,26945.67
2023-03-17,27333.79
2023-03-16,27010.61
2023-03-15,27229.48
2023-03-14,27222.04
2023-03-13,27832.96
2023-03-10,28143.97
2023-03-09,28623.15
2023-03-08,28444.19
2023-03-07,28309.16
2023-03-06,28237.78
2023-03-03,27927.47
2023-03-02,27498.87
2023-03-01,27516.53
2023-02-28,27445.56
2023-02-27,27423.96
2023-02-24,27453.48
2023-02-22,27104.32
2023-02-21,27473.1
2023-02-20,27531.94
2023-02-17,27513.13
2023-02-16,27696.44
2023-02-15,27501.86
2023-02-14,27602.77
2023-02-13,27427.32
2023-02-10,27670.98
2023-02-09,27584.35
2023-02-08,27606.46
2023-02-07,27685.47
2023-02-06,27693.65
2023-02-03,27509.46
2023-02-02,27402.05
2023-02-01,27346.88
2023-01-31,27327.11
2023-01-30,27433.4
2023-01-27,27382.56
2023-01-26,27362.75
2023-01-25,27395.01
2023-01-24,27299.19
2023-01-23,26906.04
2023-01-20,26553.53
2023-01-19,26405.23
2023-01-18,26791.12
2023-01-17,26138.68
2023-01-16,25822.32
2023-01-13,26119.52
2023-01-12,26449.82
2023-01-11,26446.0
2023-01-10,26175.56
2023-01-06,25973.85
2023-01-05,25820.8
2023-01-04,25716.86
2022-12-30,26094.5
2022-12-29,26093.67
2022-12-28,26340.5
2022-12-27,26447.87
2022-12-26,26405.87
2022-12-23,26235.25
2022-12-22,26507.87
2022-12-21,26387.72
2022-12-20,26568.03
2022-12-19,27237.64
2022-12-16,27527.12
2022-12-15,28051.7
2022-12-14,28156.21
2022-12-13,27954.85
2022-12-12,27842.33
2022-12-09,27901.01
2022-12-08,27574.43
2022-12-07,27686.4
2022-12-06,27885.87
2022-12-05,27820.4
2022-12-02,27777.9
2022-12-01,28226.08
2022-11-30,27968.99
2022-11-29,28027.84
2022-11-28,28162.83
2022-11-25,28283.03
2022-11-24,28383.09
2022-11-22,28115.74
2022-11-21,27944.79
2022-11-18,27899.77
2022-11-17,27930.57
2022-11-16,28028.3
2022-11-15,27990.17
2022-11-14,27963.47
2022-11-11,28263.57
2022-11-10,27446.1
2022-11-09,27716.43
2022-11-08,27872.11
2022-11-07,27527.64
2022-11-04,27199.74
2022-11-02,27663.39
2022-11-01,27678.92
2022-10-31,27587.46
2022-10-28,27105.2
2022-10-27,27345.24
2022-10-26,27431.84
2022-10-25,27250.28
2022-10-24,26974.9
2022-10-21,26890.58
2022-10-20,27006.96
2022-10-19,27257.38
2022-10-18,27156.14
2022-10-17,26775.79
2022-10-14,27090.76
2022-10-13,26237.42
2022-10-12,26396.83
2022-10-11,26401.25
2022-10-07,27116.11
2022-10-06,27311.3
2022-10-05,27120.53
2022-10-04,26992.21
2022-10-03,26215.79
2022-09-30,25937.21
2022-09-29,26422.05
2022-09-28,26173.98
2022-09-27,26571.87
2022-09-26,26431.55
2022-09-22,27153.83
2022-09-21,27313.13
2022-09-20,27688.42
2022-09-16,27567.65
2022-09-15,27875.91
2022-09-14,27818.62
2022-09-13,28614.63
2022-09-12,28542.11
2022-09-09,28214.75
2022-09-08,28065.28
2022-09-07,27430.3
2022-09-06,27626.51
2022-09-05,27619.61
2022-09-02,27650.84
2022-09-01,27661.47
2022-08-31,28091.53
2022-08-30,28195.58
2022-08-29,27878.96
2022-08-26,28641.38
2022-08-25,28479.01
2022-08-24,28313.47
2022-08-23,28452.75
2022-08-22,28794.5
2022-08-19,28930.33
2022-08-18,28942.14
2022-08-17,29222.77
2022-08-16,28868.91
2022-08-15,28871.78
2022-08-12,28546.98
2022-08-10,27819.33
2022-08-09,27999.96
2022-08-08,28249.24
2022-08-05,28175.87
2022-08-04,27932.2
2022-08-03,27741.9
2022-08-02,27594.73
2022-08-01,27993.35
2022-07-29,27801.64
2022-07-28,27815.48
2022-07-27,27715.75
2022-07-26,27655.21
2022-07-25,27699.25
2022-07-22,27914.66
2022-07-21,27803.0
2022-07-20,27680.26
2022-07-19,26961.68
2022-07-15,26788.47
2022-07-14,26643.39
2022-07-13,26478.77
2022-07-12,26336.66
2022-07-11,26812.3
2022-07-08,26517.19
2022-07-07,26490.53
2022-07-06,26107.65
2022-07-05,26423.47
2022-07-04,26153.81
2022-07-01,25935.62
2022-06-30,26393.04
2022-06-29,26804.6
2022-06-28,27049.47
2022-06-27,26871.27
2022-06-24,26491.97
2022-06-23,26171.25
2022-06-22,26149.55
2022-06-21,26246.31
2022-06-20,25771.22
2022-06-17,25963.0
2022-06-16,26431.2
2022-06-15,26326.16
2022-06-14,26629.86
2022-06-13,26987.44
2022-06-10,27824.29
2022-06-09,28246.53
2022-06-08,28234.29
2022-06-07,27943.95
2022-06-06,27915.89
2022-06-03,27761.57
2022-06-02,27413.88
2022-06-01,27457.89
2022-05-31,27279.8
2022-05-30,27369.43
2022-05-27,26781.68
2022-05-26,26604.84
2022-05-25,26677.8
2022-05-24,26748.14
2022-05-23,27001.52
2022-05-20,26739.03
2022-05-19,26402.84
2022-05-18,26911.2
2022-05-17,26659.75
2022-05-16,26547.05
2022-05-13,26427.65
2022-05-12,25748.72
2022-05-11,26213.64
2022-05-10,26167.1
2022-05-09,26319.34
2022-05-06,27003.56
2022-05-02,26818.53
2022-04-28,26847.9
2022-04-27,26386.63
2022-04-26,26700.11
2022-04-25,26590.78
2022-04-22,27105.26
2022-04-21,27553.06
2022-04-20,27217.85
2022-04-19,26985.09
2022-04-18,26799.71
2022-04-15,27093.19
2022-04-14,27172.0
2022-04-13,26843.49
2022-04-12,26334.98
2022-04-11,26821.52
2022-04-08,26985.8
2022-04-07,26888.57
2022-04-06,27350.3
2022-04-05,27787.98
2022-04-04,27736.47
2022-04-01,27665.98
2022-03-31,27821.43
2022-03-30,28027.25
2022-03-29,28252.42
2022-03-28,27943.89
2022-03-25,28149.84
2022-03-24,28110.39
2022-03-23,28040.16
2022-03-22,27224.11
2022-03-18,26827.43
2022-03-17,26652.89
2022-03-16,25762.01
2022-03-15,25346.48
2022-03-14,25307.85
2022-03-11,25162.78
2022-03-10,25690.4
2022-03-09,24717.53
2022-03-08,24790.95
2022-03-07,25221.41
2022-03-04,25985.47
2022-03-03,26577.27
2022-03-02,26393.03
2022-03-01,26844.72
2022-02-28,26526.82
2022-02-25,26476.5
2022-02-24,25970.82
2022-02-22,26449.61
2022-02-21,26910.87
2022-02-18,27122.07
2022-02-17,27232.87
2022-02-16,27460.4
2022-02-15,26865.19
2022-02-14,27079.59
2022-02-10,27696.08
2022-02-09,27579.87
2022-02-08,27284.52
2022-02-07,27248.87
2022-02-04,27439.99
2022-02-03,27241.31
2022-02-02,27533.6
2022-02-01,27078.48
2022-01-31,27001.98
2022-01-28,26717.34
2022-01-27,26170.3
2022-01-26,27011.33
2022-01-25,27131.34
2022-01-24,27588.37
2022-01-21,27522.26
2022-01-20,27772.93
2022-01-19,27467.23
2022-01-18,28257.25
2022-01-17,28333.52
2022-01-14,28124.28
2022-01-13,28489.13
2022-01-12,28765.66
2022-01-11,28222.48
2022-01-07,28478.56
2022-01-06,28487.87
2022-01-05,29332.16
2022-01-04,29301.79
2021-12-30,28791.71
2021-12-29,28906.88
2021-12-28,29069.16
2021-12-27,28676.46
2021-12-24,28782.59
2021-12-23,28798.37
2021-12-22,28562.21
2021-12-21,28517.59
2021-12-20,27937.81
2021-12-17,28545.68
2021-12-16,29066.32
2021-12-15,28459.72
2021-12-14,28432.64
2021-12-13,28640.49
2021-12-10,28437.77
2021-12-09,28725.47
2021-12-08,28860.62
2021-12-07,28455.6
2021-12-06,27927.37
2021-12-03,28029.57
2021-12-02,27753.37
2021-12-01,27935.62
2021-11-30,27821.76
2021-11-29,28283.92
2021-11-26,28751.62
2021-11-25,29499.28
2021-11-24,29302.66
2021-11-22,29774.11
2021-11-19,29745.87
2021-11-18,29598.66
2021-11-17,29688.33
2021-11-16,29808.12
2021-11-15,29776.8
2021-11-12,29609.97
2021-11-11,29277.86
2021-11-10,29106.78
2021-11-09,29285.46
2021-11-08,29507.05
2021-11-05,29611.57
